linha_csv;id;n2_centro_custo;n3_centro_custo;n4_centro_custo;tipo_sugerido;confianca;motivo;observacao_resumo
30;002371;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;CAÇAMBAS;alta;caixas/caçamba no centro de custo ou observação; CRISTINA - S/N VENC. 15/01/26 VIA ALELO - REF. A 17/12 LAVAGEM DA PRENSA NOVA PHH0062 (R$ 150,00) E CAMINHÃO GDB3A42  (R$150,00) - 22/12 LAVAGEM DA PRENSA PHH0045 E CAMINHÃO GDB3A
31;002372;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;CAÇAMBAS;alta;caixas/caçamba no centro de custo ou observação; CRISTINA - S/N VENC. 15/01/26 VIA ALELO - REF. A 17/12 LAVAGEM DA PRENSA NOVA PHH0062 (R$ 150,00) E CAMINHÃO GDB3A42  (R$150,00) - 22/12 LAVAGEM DA PRENSA PHH0045 E CAMINHÃO GDB3A
41;002710;PRESIDENTE PRUDENTE;MAQUINAS E EQUIPAMENTOS;CHF0016;CAÇAMBAS;alta;caixas/caçamba no centro de custo ou observação; CRISTINA - S/N VENC. 25/01/26 VIA CARTÃO ALELO - REF. A 12/01 LIMPEZA DA CAIXA SAL R$170,00 - 13/01 LIMPEZA CAMINHÃO  INTERNO EWU6003 E LIMPEZA OFICINA R$170,00 - 15/01 LIMPEZA AJ
49;002718;ADMINISTRATIVO;ADMINISTRATIVO;ADMINISTRATIVO;CAÇAMBAS;alta;caixas/caçamba no centro de custo ou observação; CRISTINA - S/N VENC. 25/01/26 VIA CARTÃO ALELO - REF. A 12/01 LIMPEZA DA CAIXA SAL R$170,00 - 13/01 LIMPEZA CAMINHÃO  INTERNO EWU6003 E LIMPEZA OFICINA R$170,00 - 15/01 LIMPEZA AJ
50;002719;ADMINISTRATIVO;ADMINISTRATIVO;ADMINISTRATIVO;CAÇAMBAS;alta;caixas/caçamba no centro de custo ou observação; CRISTINA - S/N VENC. 25/01/26 VIA CARTÃO ALELO - REF. A 12/01 LIMPEZA DA CAIXA SAL R$170,00 - 13/01 LIMPEZA CAMINHÃO  INTERNO EWU6003 E LIMPEZA OFICINA R$170,00 - 15/01 LIMPEZA AJ
51;002720;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;CAÇAMBAS;alta;caixas/caçamba no centro de custo ou observação; CRISTINA - S/N VENC. 25/01/26 VIA CARTÃO ALELO - REF. A 12/01 LIMPEZA DA CAIXA SAL R$170,00 - 13/01 LIMPEZA CAMINHÃO  INTERNO EWU6003 E LIMPEZA OFICINA R$170,00 - 15/01 LIMPEZA AJ
52;002721;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;CAÇAMBAS;alta;caixas/caçamba no centro de custo ou observação; CRISTINA - S/N VENC. 25/01/26 VIA CARTÃO ALELO - REF. A 12/01 LIMPEZA DA CAIXA SAL R$170,00 - 13/01 LIMPEZA CAMINHÃO  INTERNO EWU6003 E LIMPEZA OFICINA R$170,00 - 15/01 LIMPEZA AJ
53;002722;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;CAÇAMBAS;alta;caixas/caçamba no centro de custo ou observação; CRISTINA - S/N VENC. 25/01/26 VIA CARTÃO ALELO - REF. A 12/01 LIMPEZA DA CAIXA SAL R$170,00 - 13/01 LIMPEZA CAMINHÃO  INTERNO EWU6003 E LIMPEZA OFICINA R$170,00 - 15/01 LIMPEZA AJ
54;002723;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;CAÇAMBAS;alta;caixas/caçamba no centro de custo ou observação; CRISTINA - S/N VENC. 25/01/26 VIA CARTÃO ALELO - REF. A 12/01 LIMPEZA DA CAIXA SAL R$170,00 - 13/01 LIMPEZA CAMINHÃO  INTERNO EWU6003 E LIMPEZA OFICINA R$170,00 - 15/01 LIMPEZA AJ
73;003167;MARINGA CIDADE ALTA;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 0239 - USO DYESSILA - DESPESA DEDUTIVEL REF A UM ABASTECIMENTO DE GASOLINA, E / DESPESA INDEDUTIVEL REF A UM GÁS GLP PARA USO DO PATIO  
74;003170;MARINGA CIDADE ALTA;COMERCIAL;COMERCIAL;CAMINHOES;baixa;sem indício forte (fallback); CARTAO FLASH FINAL 0239 - USO DYESSILA - DESPESA DEDUTIVEL REF A UM ABASTECIMENTO DE GASOLINA, E / DESPESA INDEDUTIVEL REF A UM GÁS GLP PARA USO DO PATIO  
75;003173;MARINGA CIDADE ALTA;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); CARTAO FLASH FINAL 0239 - USO DYESSILA - DESPESA DEDUTIVEL REF A UM ABASTECIMENTO DE GASOLINA, E / DESPESA INDEDUTIVEL REF A UM GÁS GLP PARA USO DO PATIO  
77;003164;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 0537 - USO CRISTIANO LUCAS - DESPESA DEDUTIVEL REF A  UMA REFEIÇÃO, ABASTECIMETO DE ETANOL, E UMA COMPRA DE BOMBA D'AGUA  
78;001819;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 0537 - USO CRISTIANO - DESPESA DEDUTIVEL REF A PALHETA DE PARABRISA, 2 UNIFORMES, COMBUTIVEL - ETANOL, ANEL DE VEDAÇÃO E MATERIAIS PARA LIMPEZA DE MAQUINA/ DESP
81;003235;CONTRATOS;TRANSMOVE - PRANCHA SALIONE;TRANSMOVE - PRANCHA SALIONE;CAMINHOES;baixa;sem indício forte (fallback); CARTAO FLASH FINAL 7429 - USO DANIEL JUNIOR - DESPESA DEDUTIVEL REF A 3 ABASTECIMENTO DE ETANOL E COMPRAS DE PEÇAS PARA MANUTENÇÃO / DESPESA INDEDUTIVEL REF A  11 UBERS  
85;004001;PRESIDENTE PRUDENTE;LOGISTICA;LOGISTICA;CAMINHOES;baixa;sem indício forte (fallback); CARTAO FLASH FINAL 7569 - USO ANDERSON0 ZANUTO - DESPESA DEDUTIVEL REF A UMA COMRPA DE FILTRO PARA BEBEDOURO E 16 REFEIÇÕES / DESPESA INDEDUTIVEL REF A 1 UBER  
86;004004;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 7569 - USO ANDERSON0 ZANUTO - DESPESA DEDUTIVEL REF A UMA COMRPA DE FILTRO PARA BEBEDOURO E 16 REFEIÇÕES / DESPESA INDEDUTIVEL REF A 1 UBER  
87;004007;PRESIDENTE PRUDENTE;COMERCIAL;COMERCIAL;CAMINHOES;baixa;sem indício forte (fallback); CARTAO FLASH FINAL 7569 - USO ANDERSON0 ZANUTO - DESPESA DEDUTIVEL REF A UMA COMRPA DE FILTRO PARA BEBEDOURO E 16 REFEIÇÕES / DESPESA INDEDUTIVEL REF A 1 UBER  
90;003153;MARINGA CIDADE ALTA;COMERCIAL;COMERCIAL;CAMINHOES;baixa;sem indício forte (fallback); CARTAO FLASH FINAL 8381 - USO RODRIGO NORCIA - DESPESA DEDUTIVEL REF UM SILICONE PARA REPARO DE MAQUINA, UM ABASTECIMENTO DE ETANOL E 16 REFEIÇÕES/ DESPESA INDEDUTIVEL REF A UMA R
91;003156;MARINGA DISTRITO;COMERCIAL;COMERCIAL;CAMINHOES;baixa;sem indício forte (fallback); CARTAO FLASH FINAL 8381 - USO RODRIGO NORCIA - DESPESA DEDUTIVEL REF UM SILICONE PARA REPARO DE MAQUINA, UM ABASTECIMENTO DE ETANOL E 16 REFEIÇÕES/ DESPESA INDEDUTIVEL REF A UMA R
92;004036;MARINGA CIDADE ALTA;COMERCIAL;COMERCIAL;CAMINHOES;baixa;sem indício forte (fallback); CARTAO FLASH FINAL 8381 - USO RODRIGO NORCIA - DESPESA DEDUTIVEL REF A 9 REFEIÇÕES, 2 ABASTECIMENTO DE ETANOL, E UM SOCORRO/ DESPESA INDEDUTIVEL REF A 4 REFEIÇÕES 2 SOCORROS UM CO
93;004040;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 8381 - USO RODRIGO NORCIA - DESPESA DEDUTIVEL REF A 9 REFEIÇÕES, 2 ABASTECIMENTO DE ETANOL, E UM SOCORRO/ DESPESA INDEDUTIVEL REF A 4 REFEIÇÕES 2 SOCORROS UM CO
94;004044;MARINGA DISTRITO;COMERCIAL;COMERCIAL;CAMINHOES;baixa;sem indício forte (fallback); CARTAO FLASH FINAL 8381 - USO RODRIGO NORCIA - DESPESA DEDUTIVEL REF A 9 REFEIÇÕES, 2 ABASTECIMENTO DE ETANOL, E UM SOCORRO/ DESPESA INDEDUTIVEL REF A 4 REFEIÇÕES 2 SOCORROS UM CO
95;004048;LONDRINA;COMERCIAL;COMERCIAL;CAMINHOES;baixa;sem indício forte (fallback); CARTAO FLASH FINAL 8381 - USO RODRIGO NORCIA - DESPESA DEDUTIVEL REF A 9 REFEIÇÕES, 2 ABASTECIMENTO DE ETANOL, E UM SOCORRO/ DESPESA INDEDUTIVEL REF A 4 REFEIÇÕES 2 SOCORROS UM CO
96;004052;MARINGA CIDADE ALTA;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 8381 - USO RODRIGO NORCIA - DESPESA DEDUTIVEL REF A 9 REFEIÇÕES, 2 ABASTECIMENTO DE ETANOL, E UM SOCORRO/ DESPESA INDEDUTIVEL REF A 4 REFEIÇÕES 2 SOCORROS UM CO
97;004016;LONDRINA;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 8617 - USO KAMYLA - DESPESA DEDUTIVEL REF A COMPRA DE ENVELOPES E UM FUSIVEL PARA MAQUINA/ DESPESA INDEDUTIVEL REF A 4 PASSAGENS E 24 UBERS  
98;004019;LONDRINA;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); CARTAO FLASH FINAL 8617 - USO KAMYLA - DESPESA DEDUTIVEL REF A COMPRA DE ENVELOPES E UM FUSIVEL PARA MAQUINA/ DESPESA INDEDUTIVEL REF A 4 PASSAGENS E 24 UBERS  
99;003201;MARINGA CIDADE ALTA;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 926 - USO DE EDMILSON - DESPESA DEDUTIVEL REF A 6 REFEIÇÕES, 4 PEÇAS PARA  MANUTENÇÃO/ DESPESA INDEDUTIVEL REF A 4 REFEIÇÕES, 2 PEÇAS DE MANUTENÇÃO  
101;003205;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 926 - USO DE EDMILSON - DESPESA DEDUTIVEL REF A 6 REFEIÇÕES, 4 PEÇAS PARA  MANUTENÇÃO/ DESPESA INDEDUTIVEL REF A 4 REFEIÇÕES, 2 PEÇAS DE MANUTENÇÃO  
102;003207;CORPORATIVO SUCATA;APOIO;APOIO;CAMINHOES;baixa;sem indício forte (fallback); CARTAO FLASH FINAL 926 - USO DE EDMILSON - DESPESA DEDUTIVEL REF A 6 REFEIÇÕES, 4 PEÇAS PARA  MANUTENÇÃO/ DESPESA INDEDUTIVEL REF A 4 REFEIÇÕES, 2 PEÇAS DE MANUTENÇÃO  
103;001799;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 926 - USO EDMILSON - DESPESA DEDUTIVEL REF A 10 REFEIÇÕES, UMA COMPRA DE PARAFUSOS E BASE SIEMENS, UM ELETRODO, UM ENGATE FEMEA E MACHO E 2 LIMPA CONTATOS/ DESP
104;001802;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 926 - USO EDMILSON - DESPESA DEDUTIVEL REF A 10 REFEIÇÕES, UMA COMPRA DE PARAFUSOS E BASE SIEMENS, UM ELETRODO, UM ENGATE FEMEA E MACHO E 2 LIMPA CONTATOS/ DESP
105;001805;LONDRINA;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 926 - USO EDMILSON - DESPESA DEDUTIVEL REF A 10 REFEIÇÕES, UMA COMPRA DE PARAFUSOS E BASE SIEMENS, UM ELETRODO, UM ENGATE FEMEA E MACHO E 2 LIMPA CONTATOS/ DESP
107;000958;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 934 - USO WAGNER APARECIDO -DESPESA INDEDUTIVEL REF A UM UBER, UMA LOCAÇÃO DE VEICULO, UM CONSERTO DE PNEU DA PRENSA, E UMA COMPRA DE MANGUEIRA E CAPA PRENSAVEL
108;000961;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 934 - USO WAGNER APARECIDO -DESPESA INDEDUTIVEL REF A UM UBER, UMA LOCAÇÃO DE VEICULO, UM CONSERTO DE PNEU DA PRENSA, E UMA COMPRA DE MANGUEIRA E CAPA PRENSAVEL
111;004070;CAMPO GRANDE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 934 - USO WAGNER APARECIDO - DESPESA DEDUTIVEL REF A UMA COMPRA DE CARNES PARA CHURRASCO, E ABASTECIMENTO DE ETANOL/ DESPESA INDEDUTIVEL REF A UM ESTACIONAMENTO
112;004076;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 934 - USO WAGNER APARECIDO - DESPESA DEDUTIVEL REF A UMA COMPRA DE CARNES PARA CHURRASCO, E ABASTECIMENTO DE ETANOL/ DESPESA INDEDUTIVEL REF A UM ESTACIONAMENTO
116;004010;MARINGA CIDADE ALTA;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 9538 - USO JULIO VIEIRA - DESPESA DEDUTIVEL REF A / DESPESA INDEDUTIVEL REF A 1 REFEIÇÃO, UM CONECTOR DE PINO E UMA MANGUEIRA DE AR  
117;004012;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CARTAO FLASH FINAL 9538 - USO JULIO VIEIRA - DESPESA DEDUTIVEL REF A / DESPESA INDEDUTIVEL REF A 1 REFEIÇÃO, UM CONECTOR DE PINO E UMA MANGUEIRA DE AR  
118;001872;PRESIDENTE PRUDENTE;LOGISTICA;LOGISTICA;CAMINHOES;baixa;sem indício forte (fallback); CARTAO FLASH FINAL 9686 - USO REGINALDO - DESPESA DEDUTIVEL REF A 11 REFEIÇÕES/ DESPESA INDEDUTIVEL REF A 4 REFEIÇÕES E UMA COMPRA DE FILTRO (QUE GEROU NOTA, MAS FOI EMITIDA PARA 
120;000769;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; OC 27771 - CRISTINA - NFE. 236.141 VENC. 08/02/26 R$ 737,50 10/03/26 R$737,50 09/04/26 R$737,50 09/05/26 R$737,50 VIA BOL. (BOLETO EM  CONJUNTO COM A NOTA 86.300) - REF. A COMPRA 
121;002177;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; OC 27771 - CRISTINA - NFE. 236.141 VENC. 08/02/26 R$ 737,50 10/03/26 R$737,50 09/04/26 R$737,50 09/05/26 R$737,50 VIA BOL. (BOLETO EM  CONJUNTO COM A NOTA 86.300) - REF. A COMPRA 
122;002263;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; OC 27771 - CRISTINA - NFE. 236.141 VENC. 08/02/26 R$ 737,50 10/03/26 R$737,50 09/04/26 R$737,50 09/05/26 R$737,50 VIA BOL. (BOLETO EM  CONJUNTO COM A NOTA 86.300) - REF. A COMPRA 
123;004137;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; OC 27771 - CRISTINA - NFE. 236.141 VENC. 08/02/26 R$ 737,50 10/03/26 R$737,50 09/04/26 R$737,50 09/05/26 R$737,50 VIA BOL. (BOLETO EM  CONJUNTO COM A NOTA 86.300) - REF. A COMPRA 
127;003594;CAMPO GRANDE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 4.709 VENC. 22/02/2026. VIA BOL. - REF. COMPRA DE VENENO SOLICITADO POR ENCARREGADOS PARA PASSAR NA  GRAMA NOS PATIOS DE 02 MARINGA, 01 CAMPO GRANDE E 01 DOURADOS
128;003595;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 4.709 VENC. 22/02/2026. VIA BOL. - REF. COMPRA DE VENENO SOLICITADO POR ENCARREGADOS PARA PASSAR NA  GRAMA NOS PATIOS DE 02 MARINGA, 01 CAMPO GRANDE E 01 DOURADOS
129;003596;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 4.709 VENC. 22/02/2026. VIA BOL. - REF. COMPRA DE VENENO SOLICITADO POR ENCARREGADOS PARA PASSAR NA  GRAMA NOS PATIOS DE 02 MARINGA, 01 CAMPO GRANDE E 01 DOURADOS
130;000753;MARINGA DISTRITO;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); OC 28246 CRISTINA - REF A COMPRA DE PEÇAS PARA CONSERTO DA FIBRA DE INTERNET , QUE AO SE MOVIMENTAR COM A MAQUINA  ROMPEU UM CABO DA INTERNET DENTRO DA UNIDADE.  PAGAMENTO BOLETO 
131;002176;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4;REF. NFS86854 - NFE237314 OC 28528 - CRISTINA - NFS. 86.854 VENC. 12/03/26 VIA BOL. (BOLETO EM CONJUNTO COM A NFE. 237.274) - REF. AO SERVIÇO DE TROCA DE  BATERIA NO CARRO SUC4A26 
132;004267;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4;REF. NFS86868 - NFE237342 OC 28572 - CRISTINA - NFS. 86.868 VENC. 13/02/26 VIA BOL. (BOLETO EM CONJUNTO COM A NF. 237.342) - REF. A REVISÃO COM MUDANÇA DE  OLEO NO CARRO SUC4A26 (K
133;002192;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4;REF. NFS 86882 E NFE 237375 OC 28672 - CRISTINA - NFS. 86.882 VENC. 14/03/26 R$1.110,90 13/04/26 R$1.110,90 13/05/26 R$1.110,89 VIA BOL. (BOLETO EM CONJUNTO COM A NF.  237.375) - R
134;004443;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4;REF. NFS 86882 E NFE 237375 OC 28672 - CRISTINA - NFS. 86.882 VENC. 14/03/26 R$1.110,90 13/04/26 R$1.110,90 13/05/26 R$1.110,89 VIA BOL. (BOLETO EM CONJUNTO COM A NF.  237.375) - R
135;004444;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4;REF. NFS 86882 E NFE 237375 OC 28672 - CRISTINA - NFS. 86.882 VENC. 14/03/26 R$1.110,90 13/04/26 R$1.110,90 13/05/26 R$1.110,89 VIA BOL. (BOLETO EM CONJUNTO COM A NF.  237.375) - R
145;003831;PRESIDENTE PRUDENTE;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); CRISTINA - NFE. 103.477 VENC. 15/02/26 VIA CARTÃO DE CREDITO 8971 EM 1X -  REF. A COMPRA DE 01 MEMORIA DE 16G, CONSUMO DOS 8G JÁ INSTALADO, P/MELHORIA MAQUINA DA FERNANDA DA CONTR
181;004085;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; COMPRADA PELO FRANCISCO - UTILIZADA PARA DESCONTAMINAÇÃO VEICULOS PATIO CARVALHO LEILÕES EM TEODORO SAMPAIO / REF. LEILÃO PRENSA DE VEICULOS.  FINAL DO CARTÃO 0987
204;003837;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; NFE 129.321 PTO BOL VENC 05/03 - REF. A COMPRA DE SPRAY PARA PINTAR O PORTAO DE ENTRADA DO ESCRITORIO, ESPUMA POR CONTA DA INFILTRACAO DA COZINHA E ESCRITORIO, E CADEADO POIS QUEB
205;003838;DOURADOS;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); NFE 129.321 PTO BOL VENC 05/03 - REF. A COMPRA DE SPRAY PARA PINTAR O PORTAO DE ENTRADA DO ESCRITORIO, ESPUMA POR CONTA DA INFILTRACAO DA COZINHA E ESCRITORIO, E CADEADO POIS QUEB
207;000690;PRESIDENTE PRUDENTE;MAQUINAS E EQUIPAMENTOS;CHF0016;MAQUINAS;alta;máquinas/equipamentos no centro de custo; CRISTINA - NFE. 131.652 VENC. 05/02/26 VIA BOL. - REF. A COMPRA DE REMOCIL P/ LIMPEZA DO PISO DO LAVADOR E OUTROS PRODUTOS P/ LIMPEZA DA MAQUINA CHF0016, PENSA MOVEL GDU0275 E CAM
211;000694;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;alta;código de máquina na observação; CRISTINA - NFE. 131.652 VENC. 05/02/26 VIA BOL. - REF. A COMPRA DE REMOCIL P/ LIMPEZA DO PISO DO LAVADOR E OUTROS PRODUTOS P/ LIMPEZA DA MAQUINA CHF0016, PENSA MOVEL GDU0275 E CAM
212;000695;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;alta;código de máquina na observação; CRISTINA - NFE. 131.652 VENC. 05/02/26 VIA BOL. - REF. A COMPRA DE REMOCIL P/ LIMPEZA DO PISO DO LAVADOR E OUTROS PRODUTOS P/ LIMPEZA DA MAQUINA CHF0016, PENSA MOVEL GDU0275 E CAM
219;002088;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 137.503 VENC. 15/02/26 VIA CARTÃO 8971 EM 10X - REF. A COMPRA DE BALANÇA DIGITAL SUSPENSA P/ USO NA BRAÇOFER - ITEM 1,  : 'REDUCAO DE ALIQUOTA CONFORME SF 4/98 - I
220;002096;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 137.503 VENC. 15/02/26 VIA CARTÃO 8971 EM 10X - REF. A COMPRA DE BALANÇA DIGITAL SUSPENSA P/ USO NA BRAÇOFER - ITEM 1,  : 'REDUCAO DE ALIQUOTA CONFORME SF 4/98 - I
221;002163;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 137.503 VENC. 15/02/26 VIA CARTÃO 8971 EM 10X - REF. A COMPRA DE BALANÇA DIGITAL SUSPENSA P/ USO NA BRAÇOFER - ITEM 1,  : 'REDUCAO DE ALIQUOTA CONFORME SF 4/98 - I
222;002251;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 137.503 VENC. 15/02/26 VIA CARTÃO 8971 EM 10X - REF. A COMPRA DE BALANÇA DIGITAL SUSPENSA P/ USO NA BRAÇOFER - ITEM 1,  : 'REDUCAO DE ALIQUOTA CONFORME SF 4/98 - I
