DATA,EMPRESA,RESUMO ATIV.,DESCRIÇÃO DA ATIV.,INICIAL,FINAL,QTDE DE HORAS
1/9/2026,G3S 10,Folha,Desenv. folha novembro ,9:00,9:30,0:30
1/9/2026,G3S 04,Suporte Áreas,Desenvolvimento do relatório HE marcondes 2024-2025,9:30,12:20,2:50
1/9/2026,G3S 04,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",13:20,15:00,1:40
1/12/2026,G3S 04,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",8:00,9:30,1:30
1/12/2026,G3S 10,Parâmetros,Alterações/criação de CC conforme e-mail controladoria,9:30,12:15,2:45
1/12/2026,G3S 04,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",13:15,15:00,1:45
1/13/2026,G3S 04,Suporte Áreas,Ajustes relatório HE marcondes.,8:00,10:30,2:30
1/13/2026,Ekipa,Suporte Áreas,Apoio Leticia para geração manual dos contratos de locação,10:30,11:30,1:00
1/13/2026,G3S 10,Fechamento,Tratamento dos dados de fechamento dezembro pré carga,11:00,12:10,1:10
1/13/2026,G3S 10,Fechamento,Tratamento dos dados de fechamento dezembro pré carga,13:10,15:00,1:50
1/14/2026,G3S 04,Suporte Áreas,Confronto relatório marcondes HE X Faturamento,8:00,9:00,1:00
1/14/2026,G3S 04,BCBI Seletiva,Reunião com Leonardo(SAGI) e Matheus(Consulti) para alinhamentos BCBI,9:00,10:00,1:00
1/14/2026,G3S 04,Suporte Áreas,Confronto relatório marcondes HE X Faturamento,10:00,11:45,1:45
1/14/2026,G3S 10,Fechamento,Tratamento dos dados de fechamento dezembro pré carga,11:45,12:30,0:45
1/14/2026,G3S 10,Fechamento,Tratamento dos dados de fechamento dezembro pré carga,13:30,15:00,1:30
1/15/2026,G3S 04,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",8:00,8:30,0:30
1/15/2026,RH,Ginástica Laboral,Ginástica Laboral,8:30,9:00,0:30
1/15/2026,G3S 04,BCBI Seletiva,Validação das receitas ,9:00,11:20,2:20
1/15/2026,G3S 10,BCBI/Fechamento,Reemissão dos relatórios de vendas para checagem de valores utilizando o tipo TODOS indicado pelo leonardo  ,11:20,12:35,1:15
1/15/2026,G3S 10,BCBI/Fechamento,Reemissão dos relatórios de vendas para checagem de valores utilizando o tipo TODOS indicado pelo leonardo  ,13:35,15:00,1:25
1/16/2026,G3S 10,BCBI/Fechamento,Reemissão dos relatórios de vendas para checagem de valores utilizando o tipo TODOS indicado pelo leonardo  ,8:00,11:00,3:00
1/16/2026,G3S 04,Suporte Áreas,Ajuste relatório HE marcondes,11:00,12:05,1:05
1/16/2026,Consulti,Ticket de suporte,Configuração de máquina para acesso à impressora da recepção do distrito,13:05,15:00,1:55
1/19/2026,G3S 10,Suporte Áreas,Impressão e entrega de relatórios FOPA novembro e dezembro para Giovane,8:00,9:30,1:30
1/19/2026,G3S 10,Fechamento,ETL dados de Fechamento Dezembro,9:30,12:11,2:41
1/19/2026,G3S 10,Fechamento,ETL dados de Fechamento Dezembro,13:11,15:00,1:49
1/21/2026,G3S 10,Fechamento,ETL dados de Fechamento Dezembro,8:00,12:05,4:05
1/21/2026,G3S 10,Fechamento,ETL dados de Fechamento Dezembro,13:05,15:00,1:55
1/22/2026,G3S 10,Fechamento,ETL dados de Fechamento Dezembro,8:00,8:40,0:40
1/22/2026,Rh,Ginástica Laboral,Ginástica Laboral,8:40,9:00,0:20
1/22/2026,G3S 10,BCBI Seletiva,"Reunião com Luciano, Leonardo(Sagi) e Gisele para identificação e solução de problema com os relatórios de compra/venda de sucata. Os relatórios estavam contabilizando os valores de transferência entre empresas.",9:00,10:00,1:00
1/22/2026,G3S 10,Fechamento,ETL dados de Fechamento Dezembro,10:00,10:30,0:30
1/22/2026,G3S 04,BCBI Seletiva,"Reunião com Luciano, Renato(SAGI) e Matheus(Consulti) para fazer ajustes das consultas utilizadas no BCBI",10:30,12:00,1:30
1/22/2026,G3S 10,Fechamento,ETL dados de Fechamento Dezembro,12:00,12:20,0:20
1/22/2026,G3S 10,Fechamento,ETL dados de Fechamento Dezembro,13:20,15:00,1:40
1/23/2026,G3S 10,Qualidade,Alinhamento de demandas e atividades,8:00,9:00,1:00
1/23/2026,G3S 04,Suporte Áreas,"Relatório de Manutenções Marcondes 2025, extração, tratamento e validação dos valores.",9:00,12:00,3:00
1/26/2026,G3S 04,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",8:00,10:10,2:10
1/26/2026,G3S 10,Suporte Áreas,"Geração de custos do Rufino, solicitado por Cristina Sugui",10:10,10:30,0:20
1/26/2026,G3S 10,BCBI/Fechamento,Reemissão dos relatórios de compras para checagem de valores utilizando o tipo NORMAL de acordo com o método indicado pelo Leonardo SAGI,10:30,11:20,0:50
1/26/2026,G3S 10,Suporte Áreas,"Geração de custos do Rufino, solicitado por Cristina Sugui",11:20,12:15,0:55
1/26/2026,G3S 10,BCBI/Fechamento,Reemissão dos relatórios de compras para checagem de valores utilizando o tipo NORMAL de acordo com o método indicado pelo Leonardo SAGI,13:15,15:05,1:50
1/27/2026,G3S 04,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",8:00,8:30,0:30
1/27/2026,G3S 04,BCBI Seletiva,"Reunião com Renato(SAGI), Matheus(Consulti) e Luciano para verificação e correção de erros de consulta e tratamento do BCBI",8:30,9:00,0:30
1/27/2026,Rh,Programa de Desenvolvimento,"Programa de desenvolvimento de estágio, apresentação dos setores fiscais e financeiros com Michelle, Adriana e Hugo.",9:00,10:30,1:30
1/27/2026,Consulti,Chamado,Validação de resultado de chamado aberto anteriormente sobre as máquinas que utilizam o antivírus,10:30,11:00,0:30
1/27/2026,G3S 04,Suporte Áreas,"Relatório de Manutenções Marcondes, aplicando melhorias/correções apontadas pelo mesmo para melhor visualiação e aplicação de valores no relatório de horas extras/faturamento.",11:00,12:00,1:00
1/27/2026,G3S 10,Qualidade,Alinhamento de demandas e atividades,12:00,12:20,0:20
1/27/2026,G3S 10,Qualidade,Alinhamento de demandas e atividades,13:20,14:00,0:40
1/27/2026,G3S 10,Projeto Controle de despesas e KM,"Reunião PAYFY para alinhamento de informações do sistema, juntamente com equipe do financeiro",14:00,15:00,1:00
1/27/2026,G3S 10,Suporte Áreas,Relatório de Custos Projeto de Incêndio de PP solicitado por Cristina Sugui,14:15,15:00,0:45
1/27/2026,G3S 10,Suporte Áreas,"Geração de imagens para treinamento de uso do BCBI para consulta de custos do projeto de incendio para mariane, abortado por decisão cristina e luciano",15:00,16:00,1:00
1/28/2026,G3S 10,BCBI/Fechamento,Reemissão dos relatórios de VENDAS para checagem de valores utilizando o tipo NORMAL de acordo com o método indicado pelo Leonardo SAG,8:00,9:00,1:00
1/28/2026,G3S 10,Projeto Controle de despesas e KM,"Reunião com Leonardo SAGI, Luciano e equipe do PAYFY para alinhamento das integrações entre sistemas",9:00,10:00,1:00
1/28/2026,G3S 04,BCBI Seletiva ,"Checagem e validação das importações da folha e abertura de chamados para honorarios pj, renomeação do plano 7.3.1 e recarga do bolsa estágio",10:00,12:30,2:30
1/28/2026,G3S 10,Projeto Controle de despesas e KM,Agenda de treinamento PAYFY,13:30,14:00,0:30
1/28/2026,G3S 10,Qualidade,Alinhamento de demandas e atividades,14:00,15:00,1:00
1/28/2026,G3S 04,Suporte Áreas,Resolução de dúvidas de custos elevados de manutenção para MARCONDES,15:00,16:00,1:00
1/28/2026,G3S 10,Qualidade,Alinhamento de demandas e atividades,16:00,17:00,1:00
1/29/2026,G3S 10,Relatório de OS,Ajustes e melhorias de controle de horas no relatório de OS para controle de banco de horas automático,8:00,8:30,0:30
1/29/2026,Rh,Ginástica Laboral,Ginástica Laboral,8:30,9:00,0:30
1/29/2026,G3S 10,Projeto Controle de despesas e KM,Conversa com Eduarda(Financeiro) sobre aprovadores e cartões sem uso no sistema FLASH para adequação e implantação correta no PAYFY,9:00,10:00,1:00
1/29/2026,G3S 5,Suporte Áreas,Relatórios de vendedores da braçofer sobre margem/comissão X folha para MARCONDES,10:00,12:10,2:10
1/29/2026,G3S 5,Suporte Áreas,Relatórios de vendedores da braçofer sobre margem/comissão X folha para MARCONDES,13:10,15:00,1:50
1/30/2026,G3S 10,Qualidade,Alinhamento de demandas e atividades,8:00,8:30,0:30
1/30/2026,G3S 5,Suporte Áreas,Reunião para adequação da estrutura de relatório de comissãoXfolha com marcondes,8:30,9:00,0:30
1/30/2026,G3S 5,Suporte Áreas,Desenvolvimento/readequação de relatório de comissão X folha para MARCONDES de acordo com o modelo desejado por ele,9:00,9:30,0:30
1/30/2026,G3S 10,Projeto Controle de despesas e KM,"Reunião de treinamento com equipe financeiro, Luciano e Gracielle(PAYFY)",9:30,10:20,0:50
1/30/2026,G3S 5,Suporte Áreas,Readequação de relatório de comissão X folha para MARCONDES,10:20,12:25,2:05
1/30/2026,G3S 5,Suporte Áreas,Readequação de relatório de comissão X folha para MARCONDES,13:25,15:00,1:35
2/2/2026,G3S 5,Suporte Áreas,"Readequação de relatório de comissão X folha para MARCONDES, identificamos que as datas de relatórios(1 a 30/31) não estão condizentes com as datas de folha (25 a 26)",8:00,12:45,4:45
2/2/2026,G3S 10,BCBI Seletiva,"Correção de centros de custo e planos de contas de lançamentos financeiros, identificados através das análises do BI",13:45,14:45,1:00
2/2/2026,G3S 10,BCBI Seletiva,"Checagem e validação de vendas de sucata, confronto SAGI x BCBI",14:45,15:05,0:20
2/3/2026,G3S 10,BCBI Seletiva,"Checagem e validação de vendas de sucata, confronto SAGI x BCBI",8:00,12:30,4:30
2/3/2026,G3S 5,Suporte Áreas,Readequação de relatório de comissão X folha para MARCONDES,13:30,15:10,1:40
2/4/2026,G3S 5,Suporte Áreas,"Readequação de relatório de comissão X folha para MARCONDES, checagem de valores na folha",8:10,10:30,2:20
2/4/2026,G3S 10,BCBI Seletiva,Análise e adequação das cargas das folhas de NOVEMBRO e DEZEMBRO para fazer o upload no BCBI e abertura de chamado(#4953) para envio do arquivo.,10:30,11:00,0:30
2/4/2026,G3S 10,BCBI Seletiva,"Investigação de casos de geração de financeiro para ""vendas de sucata"" para g3s e rse",11:00,12:25,1:25
2/4/2026,G3S 10,Consulti,Realocação de posição dentro do escritório,13:25,14:00,0:35
2/4/2026,G3S 10,BCBI Seletiva,Validação de entregas feitas pelo Matheus(Consulti) no BCBI ,14:00,15:10,1:10
2/5/2026,G3S 10,BCBI Seletiva,"Checagem e validação de vendas de sucata, confronto SAGI x BCBI",8:00,8:36,0:36
2/5/2026,G3S 5,Suporte Áreas,Checkpoint valores pagos de comissão com emails enviados para o DP,8:36,9:30,0:54
2/5/2026,G3S 10,Projeto Controle de despesas e KM,Reunião PAYFY para treinamento de uso do sistema para usuário MASTER,9:30,10:30,1:00
2/5/2026,G3S 10,Qualidade,"Reunião do setor com Cristina, Luciano e João Paulo para alinhamento de atividades e demandas do conjunto",10:30,11:00,0:30
2/5/2026,G3S 10,BCBI Seletiva,"Checagem e validação de vendas de sucata, confronto SAGI x BCBI. adequação do relatório para em seguida fazer as análises e confrontos",11:00,12:30,1:30
2/5/2026,G3S 10,BCBI Seletiva,"Checagem e validação de vendas de sucata, confronto SAGI x BCBI. adequação do relatório para em seguida fazer as análises e confrontos",13:30,15:00,1:30
2/6/2026,G3S 10,BCBI Seletiva,"Checagem e validação de vendas de sucata, confronto SAGI x BCBI. adequação do relatório para em seguida fazer as análises e confrontos",8:00,10:00,2:00
2/6/2026,G3S 5,Suporte Áreas,Extração de valores das folhas para inclusão no relatório do MARCONDE,10:00,12:00,2:00
2/11/2026,G3S 10,Qualidade,Alinhamento de demandas e atividades decorrente do período que fiquei afastado,8:00,9:00,1:00
2/11/2026,G3S 10,BCBI Seletiva,"Reunião com LEonardo SAGI, Luciano, Cristina e Matheus(Consulti) sobre as diferenças de valores de venda de sucata",9:00,11:15,2:15
2/11/2026,G3S 10,BCBI Seletiva,Reemissão dos relatórios de vendas e compras para atualização da base fixa(01 a 07) do BCBI,11:15,12:45,1:30
2/11/2026,G3S 10,BCBI Seletiva,"Validação notas auto-explicativas, compras e vendas BCBI",13:45,14:30,0:45
2/11/2026,G3S 10,Fechamento,Reemissão dos relatórios de vendas e compras para atualização da base fixa(08 a 12) do BCBI,14:30,15:00,0:30
2/12/2026,G3S 10,Qualidade,Reunião da equipe de qualidade para alinhamento de resultados da apresentação do BCBI Seletiva e novas demandas da área,8:00,8:30,0:30
2/12/2026,Rh,Ginástica Laboral,Ginástica Laboral,8:30,9:00,0:30
2/12/2026,G3S 10,Suporte Áreas,Suporte ao Giovane Porto(RH) no desenvolvimento e adequação da folha salarial de Janeiro,9:00,9:30,0:30
2/12/2026,G3S 10,BCBI Seletiva,Validação de dados de custo para integridade do sistema,9:30,10:30,1:00
2/12/2026,G3S 10,Integração SAGI x CTA,"Identificação de erros de integração entre os sistemas. Apenas alguns valores estão sendo integrados, não identifiquei um padrão de comportamento. Ticket #5785 na CONSULTI",10:30,11:45,1:15
2/12/2026,G3S 10,Integração SAGI x CTA,"Chat com Leonardo(SAGI), identificou que a integração estava parada, entrou em contato com o pessoal do CTA para resetar a integração desde julho até hoje",11:45,12:30,0:45
2/12/2026,G3S 10,BCBI Seletiva,Validação de dados de custo para integridade do sistema,13:30,15:00,1:30
2/13/2026,G3S 10,BCBI Seletiva,Validação de dados de custo para integridade do sistema,8:00,10:15,2:15
2/13/2026,G3S 10,Suporte Áreas,Marcondes solicitou minha presença na sala dele para falar e explicar sobre o relatório de comissão dos vendedores da braçofer.,10:15,11:30,1:15
2/13/2026,G3S 10,Qualidade,Alinhamento de atividades e assuntos abordados na reunião de ontem,11:30,12:35,1:05
2/13/2026,G3S 10,Qualidade,Alinhamento de atividades e assuntos abordados na reunião de ontem,13:35,14:15,0:40
2/13/2026,G3S 10,Suporte Áreas,"Finalização, impressão e entrega de relatórios fopa jan/26 p/Renato(entregue dentro de um envelope em mãos para dona GIU) e Marcondes(envelope lacrado e colocado em cima da mesa dele)",14:15,17:00,2:45
2/13/2026,G3S 10,Suporte Áreas,Reclassificação e readequação de lançamentos indentificados,17:00,18:00,1:00
2/18/2026,G3S 10,BCBI Seletiva,Validação de dados de custo do sistema do BI,8:00,11:00,3:00
2/18/2026,GSL,Suporte Áreas,Geração de relatório de custos prensa fixa maringá p/ andressa transmove,11:00,11:15,0:15
2/18/2026,G3S 10,BCBI Seletiva,Conferência dos valores de compra e venda dos novos cards do BI com os relatórios do SAGI,11:15,12:20,1:05
2/18/2026,G3S 10,BCBI Seletiva,Conferência dos valores de compra e venda dos novos cards do BI com os relatórios do SAGI,13:20,14:30,1:10
2/18/2026,GSL,Suporte Áreas,Detalhamento via mala direta de relatório de custos prensa fixa maringá p/ andressa transmove,14:30,15:00,0:30
2/19/2026,G3S 10,BCBI Seletiva,Check de valores CTA x SAGI x BCBI,8:00,8:30,0:30
2/19/2026,Rh,Ginástica Laboral,Ginástica Laboral,8:30,9:00,0:30
2/19/2026,G3S 10,BCBI Seletiva,"Reunião de alinhamento Juros e multas e etc. Com Hugo, Adriana, Cristina e Luciano",9:00,9:35,0:35
2/19/2026,G3S 10,BCBI Seletiva,"Reunião com Luciano, Gisele e Matheus(Consulti) para checagem de compras e vendas",9:40,10:20,0:40
2/19/2026,G3S 10,Suporte Áreas,Desenvolvimento relatório de HE Marcondes 2026,10:20,12:35,2:15
2/19/2026,G3S 10,BCBI Seletiva,Desenvolvimento da carga da folha jan/26 para upload no BCBI Seletiva,13:35,14:17,0:42
2/19/2026,G3S 10,BCBI Seletiva,Conferência custos BCBI,14:17,16:52,2:35
2/19/2026,G3S 10,Suporte Áreas,"Desenvolvimento relatório de HE Marcondes 2026, inclusao de informações 2024, 2025 e 2026",16:52,17:45,0:53
2/19/2026,G3S 10,BCBI Seletiva,Conferência custos BCBI,17:45,18:00,0:15
2/19/2026,G3S 10,BCBI Seletiva,Elaboração carga de dados ,18:00,19:00,1:00
2/20/2026,G3S 10,BCBI Seletiva,Elaboração carga de dados de depreciação de veículos e máquinas,8:00,11:30,3:30
2/20/2026,G3S 10,Suporte Áreas,"Desenvolvimento relatório de HE Marcondes 2026, inclusao de informações 2024, 2025 e 2026, detalhamento de quais são os funcionários que entraram na SELETIVA de jan/25 e jan/26",11:30,12:36,1:06
2/20/2026,G3S 10,Suporte Áreas,"Desenvolvimento relatório de HE Marcondes 2026, inclusao de informações 2024, 2025 e 2026, detalhamento de quais são os funcionários que entraram na SELETIVA de jan/25 e jan/26",13:36,15:00,1:24
2/23/2026,G3S 10,BCBI Seletiva,"Reunião com Matheus da Consulti para validarmos as compras e vendas de sucata. Definimos que os cards de compra e venda serão SOMENTE FERRO, encontramos um erro do sistema SAGI e acionamos o Leonardo(sagi) para nos ajudar. Assim que o leo resolver o problema, irá nos acionar para validarmos",8:00,10:20,2:20
2/23/2026,G3S 10,BCBI Seletiva,Correção de centros de custo das prensas GDU e QXH conforme alinhado com luciano.,10:20,11:00,0:40
2/23/2026,G3S 10,BCBI Seletiva,"Trabalho conjunto com Matheus da Consulti referente à carga de depreciação de veículos, máquinas e equipamentos. Identificação de erros de consulta do BI, problemas de planilhamento da carga. Alinhamento e melhoria no formato de extração dos centros de custo",11:00,12:30,1:30
2/23/2026,G3S 10,BCBI Seletiva,Checagem de valores compra e venda pós correção interna do sagi realizada pelo Leonardo,13:30,14:30,1:00
2/23/2026,G3S 10,BCBI Seletiva,Readequação carga da fopa de janeiro para implantação do filtro por filiais e checagem pós carga,14:30,15:00,0:30
2/24/2026,G3S 10,BCBI Seletiva,Checagem de valores das integrações BCBIxSAGI após novas regras definidas ,8:00,12:10,4:10
2/24/2026,G3S 10,BCBI Seletiva,Checagem de valores das integrações BCBIxSAGI após novas regras definidas ,13:10,15:10,2:00
2/25/2026,G3S 10,Qualidade,"Alinhamento, atividades, assuntos e feedback's ",8:00,8:20,0:20
2/25/2026,G3S 10,BCBI Seletiva,"Checagem de valores, integrações e inconsistências ",8:20,9:00,0:40
2/25/2026,G3S 10,Parametrização,"Criação de planos de contas para o DP, provisão 13 e ferias, provisao encargos",9:00,9:10,0:10
2/25/2026,G3S 10,Parametrização,alinhamento e definição de rateio despesa kinghost com o setor financeiro(wilgner e joao emanuel),9:10,9:33,0:23
