comven;data_hora;usuario;valor;numbol;parbol;lotebonus;sr_recno;quantidade;bonus;preco;total_icms;codpro;subcod;obs;filial
C;2026-01-12 11:56:47;ALESSANDRA.ADM;740.0;290209;2;6223;4762;3700;0.2;0.55;2035.0;SFMIU ;S;;
C;2026-01-12 16:19:11;GISELE.TONETTO;2232.0;290218;2;6224;4763;11160;0.2;0.5;5580.0;SFP   ;S;;
C;2026-01-12 16:32:02;GISELE.TONETTO;2295.0;290197;2;6225;4764;9180;0.25;0.5;4590.0;SFC   ;S;;
C;2026-01-12 16:59:45;GISELE.TONETTO;8.0;290242;2;6226;4765;160;0.05;0.45;72.0;SFC   ;S;;
C;2026-01-12 17:14:22;GISELE.TONETTO;27.0;290148;2;6227;4766;270;0.1;0.5;135.0;SFC   ;S;;
C;2026-01-12 17:18:35;GISELE.TONETTO;38.0;289998;2;6228;4767;380;0.1;0.6;228.0;SFMIU ;S;;
C;2026-01-14 21:23:27;ALESSANDRA.ADM;20.0;290424;2;6229;4768;400;0.05;0.5;200.0;SFC   ;S;;
C;2026-01-14 21:38:16;ALESSANDRA.ADM;13.0;290494;2;6230;4769;260;0.05;0.65;169.0;SFMIU ;S;;
C;2026-01-15 09:11:01;ALESSANDRA.ADM;399.0;290479;2;6231;4770;2660;0.15;0.5;1330.0;SFC   ;S;;
C;2026-01-15 09:12:52;ALESSANDRA.ADM;178.5;290351;2;6232;4771;1190;0.15;0.5;595.0;SFC   ;S;;
C;2026-01-15 11:23:51;ALESSANDRA.ADM;574.0;290493;2;6233;4772;2870;0.2;0.6;1722.0;SFMIU ;S;;
C;2026-01-16 15:06:54;ALESSANDRA.ADM;1671.0;290410;2;6234;4773;5570;0.3;0.5;2785.0;SFP   ;S;;
C;2026-02-20 08:46:19;ANDRESSA.TOKAWA-NVS;15.0;293609;2;6271;4847;300;0.05;0.6;180.0;SFC   ;S;;
C;2026-02-20 08:46:20;ANDRESSA.TOKAWA-NVS;9.0;293637;2;6271;4848;180;0.05;0.75;135.0;SFMIU ;S;;
C;2026-02-24 08:35:32;ANDRESSA.TOKAWA-NVS;26.0;293880;2;6272;4849;520;0.05;0.55;286.0;SFC   ;S;;
V;2026-02-24 13:55:33;ALESSANDRA.ADM;5068.04;84623;2;6274;4851;41110;0.12;1.27672;52486.0;SFTMI ;S;;G3S PRUDENTE
C;2026-02-26 14:19:44;ANDRESSA.TOKAWA-NVS;186.5;293883;2;6275;4852;3730;0.05;0.75;2797.5;SFOXC ;S;;
C;2026-02-26 14:27:09;ANDRESSA.TOKAWA-NVS;43.0;293836;2;6276;4853;860;0.05;0.65;559.0;SFC   ;S;;
C;2026-02-26 14:27:09;ANDRESSA.TOKAWA-NVS;35.0;293875;2;6276;4854;700;0.05;0.65;455.0;SFC   ;S;;
C;2026-03-04 08:20:26;ANDRESSA.TOKAWA-NVS;318.0;294471;2;6277;4855;3180;0.1;0.8;2544.0;SFMIU ;S;;
C;2026-03-04 08:21:02;ANDRESSA.TOKAWA-NVS;21.0;294471;3;6278;4856;420;0.05;1.1;462.0;SFF   ;S;;
C;2026-03-04 08:40:25;ANDRESSA.TOKAWA-NVS;26.0;294555;2;6279;4857;260;0.1;0.8;208.0;SFMIU ;S;;
C;2026-03-04 15:43:16;ANDRESSA.TOKAWA-NVS;434.0;294562;2;6280;4858;4340;0.1;0.65;2821.0;SFC   ;S;;
C;2026-03-05 09:08:49;ALESSANDRA.ADM;51.0;294586;2;6281;4859;1020;0.05;0.65;663.0;SFC   ;S;;
C;2026-03-05 09:08:49;ALESSANDRA.ADM;25.0;294586;3;6281;4860;500;0.05;0.8;400.0;SFMIU ;S;;
C;2026-03-05 09:08:49;ALESSANDRA.ADM;58.0;294588;2;6281;4861;1160;0.05;0.65;754.0;SFC   ;S;;
C;2026-03-05 09:08:49;ALESSANDRA.ADM;11.0;294588;3;6281;4862;220;0.05;0.8;176.0;SFMIU ;S;;
C;2026-03-05 12:13:36;ALESSANDRA.ADM;77.0;294469;2;6282;4863;1540;0.05;0.65;1001.0;SFC   ;S;;
C;2026-01-22 10:25:00;ALESSANDRA.ADM;60.0;291063;2;6236;4807;600;0.1;0.6;360.0;SFC   ;S;;
C;2026-01-22 10:25:00;ALESSANDRA.ADM;81.0;291017;2;6236;4808;810;0.1;0.6;486.0;SFC   ;S;;
C;2026-01-23 10:03:05;GISELE.TONETTO;94.0;291160;2;6237;4809;1880;0.05;0.5;940.0;SFC   ;S;;
C;2026-01-23 16:49:44;ALESSANDRA.ADM;615.0;291281;2;6238;4810;2050;0.3;0.9;1845.0;SFC   ;S;;
C;2026-01-23 16:50:55;ALESSANDRA.ADM;213.0;291197;2;6239;4811;710;0.3;0.6;426.0;SFC   ;S;;
C;2026-01-27 08:26:30;ALESSANDRA.ADM;964.0;291432;2;6240;4812;4820;0.2;0.95;4579.0;SFF   ;S;;
C;2026-01-28 14:58:59;ALESSANDRA.ADM;1297.4;291539;2;6241;4813;9980;0.13;0.75;7485.0;SFMIU ;S;;
C;2026-01-28 17:22:09;ALESSANDRA.ADM;351.0;291504;2;6242;4814;3510;0.1;0.5;1755.0;SFC   ;S;;
C;2026-01-29 09:40:23;ALESSANDRA.MOURA;28.08;284394;2;6243;4815;31200;0.0;0.7;21840.0;SFPC  ;F;;
C;2026-01-30 14:05:41;ALESSANDRA.ADM;242.0;291810;2;6244;4816;2420;0.1;0.75;1815.0;SFMIU ;S;;
C;2026-01-30 16:56:14;ALESSANDRA.ADM;12.0;291221;2;6245;4817;240;0.05;0.75;180.0;SFMIU ;S;;
C;2026-01-30 17:43:39;ALESSANDRA.ADM;15.0;292019;2;6246;4818;300;0.05;0.5;150.0;SFC   ;S;;
C;2026-02-02 17:54:05;ALESSANDRA.ADM;468.0;292150;2;6247;4819;4680;0.1;0.65;3042.0;SFC   ;S;;
C;2026-02-03 08:40:35;ALESSANDRA.ADM;214.0;291509;2;6248;4820;2140;0.1;0.5;1070.0;SCF   ;S;;
C;2026-02-03 16:19:45;GISELE.TONETTO;1043.0;291875;2;6249;4821;2980;0.35;0.85;2533.0;SFF   ;S;;
C;2026-02-03 16:21:03;GISELE.TONETTO;918.0;291875;3;6250;4822;2040;0.45;1.05;2142.0;SFFC  ;S;;
C;2026-02-03 18:06:39;ALESSANDRA.ADM;212.5;291810;3;6251;4823;850;0.25;0.6;510.0;SFC   ;S;;
C;2026-02-04 15:46:04;ALESSANDRA.ADM;268.0;292131;2;6252;4824;2680;0.1;0.55;1474.0;SFC   ;S;;
C;2026-02-04 16:04:31;ALESSANDRA.ADM;32.03;292165;2;6253;4825;8150;0.0;0.8;6520.0;SFC   ;S;;
C;2026-02-04 18:38:17;ALESSANDRA.ADM;18.5;290963;2;6254;4826;370;0.05;0.6;222.0;SFC   ;S;;
C;2026-02-05 17:56:13;GISELE.TONETTO;25.48;292117;2;6255;4827;2530;0.01;0.85;2150.5;SFMIU ;S;;
C;2026-02-06 15:06:24;ALESSANDRA.MOURA;11.0;292341;2;6256;4828;220;0.05;0.7;154.0;SFMIU ;S;;
C;2026-02-06 15:06:24;ALESSANDRA.MOURA;17.0;292422;2;6256;4829;340;0.05;0.7;238.0;SFMIU ;S;;
C;2026-02-06 17:40:24;ANDRESSA.TOKAWA-NVS;11.0;292537;2;6257;4830;220;0.05;0.55;121.0;SFC   ;S;;
C;2026-02-06 18:11:43;ANDRESSA.TOKAWA-NVS;6.5;292564;2;6258;4831;130;0.05;0.75;97.5;SFMIU ;S;;
C;2026-02-06 18:16:30;ANDRESSA.TOKAWA-NVS;42.5;292070;2;6259;4832;850;0.05;0.6;510.0;SFC   ;S;;
C;2026-02-06 18:16:30;ANDRESSA.TOKAWA-NVS;45.0;292070;3;6259;4833;900;0.05;0.75;675.0;SFMIU ;S;;
C;2026-02-06 18:23:26;ANDRESSA.TOKAWA-NVS;25.5;292544;2;6260;4834;510;0.05;0.55;280.5;SFC   ;S;;
C;2026-02-06 18:28:54;ANDRESSA.TOKAWA-NVS;49.5;292501;2;6261;4835;990;0.05;0.75;742.5;SFMIU ;S;;
C;2026-02-06 18:46:07;ANDRESSA.TOKAWA-NVS;8.0;292304;2;6262;4836;160;0.05;0.7;112.0;SFMIU ;S;;
C;2026-02-10 11:29:10;ANDRESSA.TOKAWA-NVS;19.0;292755;2;6263;4837;380;0.05;0.55;209.0;SFC   ;S;;
C;2026-02-10 11:39:13;ANDRESSA.TOKAWA-NVS;25.0;292367;2;6264;4838;500;0.05;0.6;300.0;SFC   ;S;;
C;2026-02-10 11:39:13;ANDRESSA.TOKAWA-NVS;20.5;292367;3;6264;4839;410;0.05;0.75;307.5;SFMIU ;S;;
C;2026-02-10 14:47:01;ANDRESSA.TOKAWA-NVS;359.0;292899;2;6265;4840;7180;0.05;0.65;4667.0;SFC   ;S;;
C;2026-02-11 17:40:38;ALESSANDRA.ADM;4686.0;290773;2;6266;4841;39050;0.12;0.75;29287.5;SFMIU ;S;;
C;2026-02-12 09:21:45;ANDRESSA.TOKAWA-NVS;519.0;288780;2;6267;4842;1730;0.3;0.5;865.0;SFC   ;S;;
C;2026-02-13 11:27:58;ALESSANDRA.ADM;12.5;291446;2;6268;4843;250;0.05;0.75;187.5;SFMIU ;S;;
C;2026-02-13 11:27:59;ALESSANDRA.ADM;95.0;291446;3;6268;4844;1900;0.05;0.6;1140.0;SFC   ;S;;
C;2026-02-13 11:33:25;ALESSANDRA.ADM;25.5;291513;2;6269;4845;510;0.05;0.75;382.5;SFMIU ;S;;
C;2026-02-13 11:37:44;ALESSANDRA.ADM;13.5;291517;2;6270;4846;270;0.05;0.7;189.0;SFMIU ;S;;
C;2026-02-24 09:57:55;ANDRESSA.TOKAWA-NVS;1192.0;293670;2;6273;4850;11920;0.1;0.75;8940.0;SFMIU ;S;;
C;2026-03-05 12:24:22;ALESSANDRA.ADM;108.0;294468;2;6283;4864;2160;0.05;0.65;1404.0;SFC   ;S;;
C;2026-03-05 12:24:23;ALESSANDRA.ADM;5.0;294468;3;6283;4865;100;0.05;0.8;80.0;SFMIU ;S;;
C;2026-03-18 10:54:16;ANDRESSA.TOKAWA-NVS;96.0;295806;2;6284;4866;960;0.1;0.4;384.0;SCF   ;S;;
C;2026-03-20 08:34:07;ALESSANDRA.ADM;148.0;296071;2;6285;4867;2960;0.05;0.8;2368.0;SFMIU ;S;;
C;2026-04-07 08:22:54;ANDRESSA.TOKAWA-NVS;306.0;297244;2;6286;4868;3060;0.1;0.8;2448.0;SFMIU ;S;;
C;2026-04-09 15:01:36;ANDRESSA.TOKAWA-NVS;148.0;297556;2;6287;4869;1480;0.1;0.65;962.0;SFC   ;S;;
C;2026-04-13 17:06:26;GISELE.TONETTO;1905.0;297174;3;6288;4870;38100;0.05;0.6;22860.0;SFPC  ;F;;
C;2026-04-13 17:06:27;GISELE.TONETTO;397.0;297250;3;6288;4871;7940;0.05;0.6;4764.0;SFPC  ;F;;
V;2026-05-07 17:27:15;ALESSANDRA.ADM;591.54;87636;2;6289;4872;33270;0.02;1.06062;35286.97;SFPC  ;F;;G3S LONDRINA
V;2026-05-07 17:27:15;ALESSANDRA.ADM;577.85;87641;2;6289;4873;32500;0.02;1.06197;34514.06;SFPC  ;F;;G3S LONDRINA
V;2026-05-07 17:27:15;ALESSANDRA.ADM;472.77;87679;2;6289;4874;26590;0.02;1.06252;28252.38;SFPC  ;F;;G3S LONDRINA
V;2026-05-07 17:27:15;ALESSANDRA.ADM;461.39;87681;2;6289;4875;25950;0.02;1.06235;27568.11;SFPC  ;F;;G3S LONDRINA
V;2026-05-07 17:27:15;ALESSANDRA.ADM;451.43;87693;2;6289;4876;25390;0.02;1.06183;26959.84;SFPC  ;F;;G3S LONDRINA
V;2026-05-07 17:27:16;ALESSANDRA.ADM;447.52;87701;2;6289;4877;25170;0.02;1.06159;26720.33;SFPC  ;F;;G3S LONDRINA
C;2026-05-18 11:51:16;GISELE.TONETTO;132.5;301140;2;6290;4878;2650;0.05;0.75;1987.5;SFC   ;S;;
C;2026-05-21 13:58:14;ANDRESSA.TOKAWA-NVS;36.0;301429;2;6291;4879;720;0.05;1.1;792.0;SFF   ;S;;
C;2026-05-28 16:09:28;ALESSANDRA.ADM;606.5;300156;2;6292;4880;12130;0.05;1.05;12736.5;SFMIU ;S;;
C;2026-05-28 16:09:29;ALESSANDRA.ADM;844.5;300222;2;6292;4881;16890;0.05;1.05;17734.5;SFMIU ;S;;
