id;filial;titulo;conta;valor_nf;Valor Oficial;observacao;credor_forn_cli_func;Dados auxiliares;data_nf;data_pagamento;Sistema;Origem
3517;G3S MARINGA;CTE-6627;FRETE DE TERCEIROS;4000.0;-4000;" CRISTINA - TRANSPORTE DA LIEBHERR, DE PRUDENTE/SP PARA MARINGA/PR_x000D_
SOLICITADO POR FERNANDO, AUTORIZADO POR MARCONDES. _x000D_
FRETE COMBINADO R$ 4.000,00_x000D_
DADOS DO EQUIPAMENTO ESCAVADEIRA HIDRAULICA MARCA LIEBHERR, MODELO A924C, VERSAO INDUSTRIAL, SERIE 130569890,_x000D_
CHASSI;WLHZ1305KZG069890, PLACA INTERNA EHL0014_x000D_
CT-E 6627 - VENC.  23/01 -  DOCUMENTO ELETRÔNICO REFERENCIADO";SANTOS & LANDES TRANSPORTES LTDA ME;-;2026-01-09;2026-01-23 00:00:00;SAGI;Saídas (Aplicações)
3566;G3S PRUDENTE;CTE-707;TRANSPORTE DE SUCATA;13268.43;-13268.43; REF CTE 707 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-09;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
3567;G3S PRUDENTE;CTE-708;TRANSPORTE DE SUCATA;7831.2;-7831.2; REF CTE 708 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-09;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
3568;G3S PRUDENTE;CTE-709;TRANSPORTE DE SUCATA;8455.2;-8455.2; REF CTE 709 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-09;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
1322;G3S PRUDENTE;CTE-710;TRANSPORTE DE SUCATA;8748.0;-8748; REF CTE 710 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-09;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
1323;G3S PRUDENTE;CTE-711;TRANSPORTE DE SUCATA;7929.6;-7929.6; REF CTE 711 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-09;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
3597;G3S PRUDENTE;CTE-712;TRANSPORTE DE SUCATA;9448.8;-9448.8; REF CTE 712 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-09;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
3598;G3S PRUDENTE;CTE-713;TRANSPORTE DE SUCATA;8236.8;-8236.8; REF CTE 713 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-09;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
2842;G3S MARINGA;CTE-125;LOCACAO DE CONTEINER E CACAMBAS;8901.0;-8901; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-12;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
334;G3S LONDRINA;CTE-6630;LOCACAO DE CONTEINER E CACAMBAS;2000.0;-2000;" CRISTINA - TRANSPORTE DE UMA ESCAVADEIRA 140 ACOPLADA COM PENEIRA ROTATIVA_x000D_
SAINDO DA SELETIVA INDUSTRIAL MARINGÁ COM DESTINO PARA SELETIVA LONDRINA_x000D_
AUTORIZADO FERNANDO._x000D_
FRETE  2.000,00_x000D_
ESCAVADEIRA HYUNDAI ROBEX 140LC 9SB, MARCA HYUNDAI, SERIE HBRR140CEE0000020, PLACA INTERNA_x000D_
EHH0002_x000D_
CTE 6630 - VENC. 26/01 -  DOCUMENTO ELETRÔNICO REFERENCIADO";SANTOS & LANDES TRANSPORTES LTDA ME;-;2026-01-12;2026-01-26 00:00:00;SAGI;Saídas (Aplicações)
1925;G3S PRUDENTE;CTE-714;TRANSPORTE DE SUCATA;600.0;-600; REF CTE 714 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-12;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1324;G3S PRUDENTE;CTE-715;TRANSPORTE DE SUCATA;9744.05;-9744.05; REF CTE 715 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-12;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1325;G3S PRUDENTE;CTE-716;TRANSPORTE DE SUCATA;13284.45;-13284.45; REF CTE 716 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-12;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
3603;G3S PRUDENTE;CTE-717;TRANSPORTE DE SUCATA;7737.6;-7737.6; REF CTE 717 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-12;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1336;G3S PRUDENTE;CTE-718;TRANSPORTE DE SUCATA;9065.65;-9065.65; REF CTE 718 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-12;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1926;G3S PRUDENTE;CTE-719;TRANSPORTE DE SUCATA;600.0;-600; REF CTE 719 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-12;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
3604;G3S PRUDENTE;CTE-720;TRANSPORTE DE SUCATA;8248.8;-8248.8; REF CTE 720 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-12;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
3605;G3S PRUDENTE;CTE-721;TRANSPORTE DE SUCATA;8611.2;-8611.2; REF CTE 721 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-12;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
2843;G3S MARINGA;CTE-126;LOCACAO DE CONTEINER E CACAMBAS;9126.0;-9126; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-13;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
542;G3S MARINGA;CTE-127;LOCACAO DE CONTEINER E CACAMBAS;7643.25;-7643.25; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-13;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
1337;G3S PRUDENTE;CTE-722;TRANSPORTE DE SUCATA;4958.15;-4958.15; REF CTE 722 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-13;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1338;G3S PRUDENTE;CTE-723;TRANSPORTE DE SUCATA;7950.0;-7950; REF CTE 723 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-13;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
3606;G3S PRUDENTE;CTE-724;TRANSPORTE DE SUCATA;8930.4;-8930.4; REF CTE 724 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-13;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1533;G3S PRUDENTE;CTE-725;TRANSPORTE DE SUCATA;6753.6;-6753.6; REF CTE725 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-13;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
2228;G3S PRUDENTE;CTE-726;TRANSPORTE DE SUCATA;10539.05;-10539.05; REF CTE 726 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-13;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1534;G3S PRUDENTE;CTE-727;TRANSPORTE DE SUCATA;8061.6;-8061.6; REF CTE 727 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-13;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
3692;G3S PRUDENTE;CTE-728;TRANSPORTE DE SUCATA;9063.0;-9063; REF CTE 728 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-14;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
3693;G3S PRUDENTE;CTE-729;TRANSPORTE DE SUCATA;9346.55;-9346.55; REF CTE 729 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-14;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1535;G3S PRUDENTE;CTE-730;TRANSPORTE DE SUCATA;8601.9;-8601.9; REF CTE 730 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-14;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1536;G3S PRUDENTE;CTE-731;TRANSPORTE DE SUCATA;9163.7;-9163.7; REF CTE 731 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-14;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1537;G3S PRUDENTE;CTE-732;TRANSPORTE DE SUCATA;13197.0;-13197; REF CTE 732 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-14;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
3694;G3S PRUDENTE;CTE-733;TRANSPORTE DE SUCATA;8954.35;-8954.35; REF CTE 733 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-14;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
3695;G3S PRUDENTE;CTE-734;TRANSPORTE DE SUCATA;8734.4;-8734.4; REF CTE 734 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-14;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
3794;G3S MARINGA;CTE-128;LOCACAO DE CONTEINER E CACAMBAS;7987.5;-7987.5; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-15;2026-01-16 00:00:00;SAGI;Saídas (Aplicações)
3272;G3S LONDRINA;CTE-129;TRANSPORTE DE SUCATA;9167.6;-9167.6; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-15;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
543;G3S MARINGA;CTE-130;LOCACAO DE CONTEINER E CACAMBAS;7364.25;-7364.25; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-15;2026-01-16 00:00:00;SAGI;Saídas (Aplicações)
1577;G3S MARINGA;CTE-131;LOCACAO DE CONTEINER E CACAMBAS;8705.25;-8705.25; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-15;2026-01-16 00:00:00;SAGI;Saídas (Aplicações)
1538;G3S PRUDENTE;CTE-735;TRANSPORTE DE SUCATA;7701.84;-7701.84; REF CTE 735 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-15;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1559;G3S PRUDENTE;CTE-736;TRANSPORTE DE SUCATA;10750.0;-10750; REF CTE 736 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-15;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
3748;G3S PRUDENTE;CTE-737;TRANSPORTE DE SUCATA;10210.45;-10210.45; REF CTE 737 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-15;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
4128;G3S PRUDENTE;CTE-737;TRANSPORTE DE SUCATA;10210.45;-10210.45; REF CTE 737 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-15;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1560;G3S PRUDENTE;CTE-738;TRANSPORTE DE SUCATA;8642.4;-8642.4; REF CTE 738 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-15;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
4130;G3S PRUDENTE;CTE-739;TRANSPORTE DE SUCATA;600.0;-600; REF CTE 739 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-16;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1927;G3S PRUDENTE;CTE-740;TRANSPORTE DE SUCATA;600.0;-600; REF CTE 740 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-16;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
3723;G3S PRUDENTE;CTE-741;TRANSPORTE DE SUCATA;7032.0;-7032; REF CTE 741 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-16;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1923;G3S PRUDENTE;CTE-742;TRANSPORTE DE SUCATA;10348.25;-10348.25; REF CTE 742 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-16;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
4129;G3S PRUDENTE;CTE-743;TRANSPORTE DE SUCATA;13271.2;-13271.2; REF CTE 743 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-16;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1924;G3S PRUDENTE;CTE-744;TRANSPORTE DE SUCATA;8201.75;-8201.75; REF CTE 744 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-16;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
4487;G3S LONDRINA;CTE-132;TRANSPORTE DE SUCATA;2050.0;-2050; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-19;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
2088;G3S LONDRINA;CTE-133;TRANSPORTE DE SUCATA;2050.0;-2050; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-19;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1576;G3S PRUDENTE;CTE-745;TRANSPORTE DE SUCATA;7761.6;-7761.6; REF CTE 745 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-19;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
4186;G3S PRUDENTE;CTE-746;TRANSPORTE DE SUCATA;9010.0;-9010; REF CTE 746 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-19;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
4187;G3S PRUDENTE;CTE-747;TRANSPORTE DE SUCATA;8313.05;-8313.05; REF CTE 747 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-19;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1974;G3S PRUDENTE;CTE-748;TRANSPORTE DE SUCATA;8024.2;-8024.2; REF CTE 748 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-19;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
2163;G3S LONDRINA;CTE-134;TRANSPORTE DE SUCATA;2050.0;-2050; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-20;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
3793;G3S MARINGA;CTE-135;TRANSPORTE DE SUCATA;8428.5;-8428.5; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-20;2026-01-21 00:00:00;SAGI;Saídas (Aplicações)
1975;G3S PRUDENTE;CTE-749;TRANSPORTE DE SUCATA;9571.2;-9571.2; REF CTE 749 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-20;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1976;G3S PRUDENTE;CTE-750;TRANSPORTE DE SUCATA;8042.4;-8042.4; REF CTE 750 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-20;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
1977;G3S PRUDENTE;CTE-751;TRANSPORTE DE SUCATA;8894.4;-8894.4; REF CTE 751 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-20;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
4188;G3S PRUDENTE;CTE-752;TRANSPORTE DE SUCATA;8707.9;-8707.9; REF CTE 752 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-20;2026-01-20 00:00:00;SAGI;Saídas (Aplicações)
4189;G3S PRUDENTE;CTE-753;TRANSPORTE DE SUCATA;8114.3;-8114.3; REF CTE 753 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-20;2026-01-25 00:00:00;SAGI;Saídas (Aplicações)
4455;G3S LONDRINA;CTE-136;TRANSPORTE DE SUCATA;2050.0;-2050; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-21;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
1617;G3S MARINGA;CTE-139;TRANSPORTE DE SUCATA;8064.0;-8064; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-21;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
4202;G3S PRUDENTE;CTE-754;TRANSPORTE DE SUCATA;5082.25;-5082.25; REF CTE 754 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-21;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
4282;G3S PRUDENTE;CTE-755;TRANSPORTE DE SUCATA;7761.6;-7761.6; REF CTE 755 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-21;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
4497;G3S PRUDENTE;CTE-756;TRANSPORTE DE SUCATA;9622.15;-9622.15; REF CTE 756 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-21;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
2096;G3S PRUDENTE;CTE-757;TRANSPORTE DE SUCATA;12523.9;-12523.9; REF CTE -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-21;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
2106;G3S PRUDENTE;CTE-758;TRANSPORTE DE SUCATA;10600.0;-10600; REF CTE 758 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-21;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
3796;G3S MARINGA;CTE-137;TRANSPORTE DE SUCATA;7751.25;-3875.63; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-22;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
3795;G3S MARINGA;CTE-137;TRANSPORTE DE SUCATA;7751.25;-3875.62; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-22;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
1619;G3S MARINGA;CTE-138;TRANSPORTE DE SUCATA;7913.25;-3956.63; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-22;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
1618;G3S MARINGA;CTE-138;TRANSPORTE DE SUCATA;7913.25;-3956.62; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-22;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
2254;G3S LONDRINA;CTE-140;TRANSPORTE DE SUCATA;2050.0;-2050; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-22;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
2097;G3S LONDRINA;CTE-141;TRANSPORTE DE SUCATA;2050.0;-2050; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-22;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
4524;G3S PRUDENTE;CTE-759;TRANSPORTE DE SUCATA;8175.25;-8175.25; REF CTE 759 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-22;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
2103;G3S PRUDENTE;CTE-760;TRANSPORTE DE SUCATA;8882.4;-8882.4; REF CTE 760 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-22;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
2291;G3S PRUDENTE;CTE-761;TRANSPORTE DE SUCATA;7716.0;-7716; REF CTE 761 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-22;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
2278;G3S PRUDENTE;CTE-762;TRANSPORTE DE SUCATA;9506.4;-9506.4; REF CTE 762 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-22;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
4417;G3S LONDRINA;CTE-142;TRANSPORTE DE SUCATA;2050.0;-2050; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-23;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
1620;G3S MARINGA;CTE-143;LOCACAO DE CONTEINER E CACAMBAS;2400.0;-2400; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-23;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
2028;G3S PRUDENTE;CTE-763;TRANSPORTE DE SUCATA;600.0;-600; REF CTE 763 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-23;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
4422;G3S PRUDENTE;CTE-764;TRANSPORTE DE SUCATA;2700.0;-2700; REF CTE 764 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-23;2026-02-05 00:00:00;SAGI;Saídas (Aplicações)
